,Institute,Program Name,Quota,Opening Rank,Closing Rank
463,"Sardar Vallabhbhai National Institute of Technology, Surat","Physics (5 Years, Integrated Master of Science)",HS,23153,46721
464,National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,16539,19830
465,National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,14701,16827
466,"National Institute of Technology, Rourkela","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,6766,15606
467,National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,7229,16341
468,Indian Institute of Information Technology (IIIT) Nagpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,15753,26445
469,Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,6489,7694
470,"Sardar Vallabhbhai National Institute of Technology, Surat","Chemistry (5 Years, Integrated Master of Science)",OS,18777,30229
471,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Mechanical Engineering with specialization in Design and Manufacturing + M. Tech - Advanced Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,22435,26997
472,"National Institute of Technology, Warangal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,10211,19779
473,Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,2732,3354
474,Indian Institute  of Technology Ropar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,5109,5993
475,"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,47812,67005
476,National Institute of Technology Patna,"Physics (5 Years, Integrated Master of Science)",OS,24922,26813
477,"National Institute of Technology, Jamshedpur","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,14190,20890
478,National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,19311,40773
479,National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,3943,23710
480,Indian Institute  of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,4233,5316
481,Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,6178,8197
482,"National Institute of Technology, Warangal","Chemical Engineering (4 Years, Bachelor of Technology)",HS,10743,15424
483,"National Institute of Technology, Silchar","Electrical Engineering (4 Years, Bachelor of Technology)",OS,15346,22426
484,Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,6425,7790
485,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,7198,20259
486,"Mizoram University, Aizawl","Electrical Engineering (4 Years, Bachelor of Technology)",AI,40400,44927
487,Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",AI,2870,3699
488,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)","Electronics System Engineering (4 Years, Bachelor of Technology)",AI,19350,31399
489,National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,11397,12910
490,"National Institute of Technology, Rourkela","Bio Technology (4 Years, Bachelor of Technology)",HS,23577,31425
491,National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,17730,21243
492,"National Institute of Technology, Warangal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,1541,5747
493,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,6323,7121
494,"National Institute of Technology, Silchar","Mechanical Engineering (4 Years, Bachelor of Technology)",OS,15033,20873
495,"National Institute of Technology, Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,167727,704913
496,"National Institute of Technology, Uttarakhand","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,15533,22123
497,Maulana Azad National Institute of Technology Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,8044,14131
498,"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (4 Years, Bachelor of Technology)",OS,3285,11850
499,National Institute of Technology Durgapur,"Chemistry (5 Years, Integrated Master of Science)",HS,30820,35895
500,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OS,26781,29702
501,HNB Garhwal University Srinagar (Garhwal),"Instrumentation Engineering (4 Years, Bachelor of Technology)",AI,45981,47557
502,National Institute of Technology Delhi,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,6942,11979
503,"School of Planning & Architecture, Bhopal","Architecture  (5 Years, Bachelor of Architecture)",AI,183,967
504,"National Institute of Foundry & Forge Technology, Hatia, Ranchi","Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",AI,27149,40370
505,National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,11246,25387
506,"National Institute of Technology, Tiruchirappalli","Civil Engineering (4 Years, Bachelor of Technology)",OS,2006,9060
507,National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,24872,24872
508,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,17030,22408
509,Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,7198,8099
510,National Institute of Technology Durgapur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,28384,32208
511,Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,4034,4248
512,Maulana Azad National Institute of Technology Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,12903,16269
513,Indian Institute  of Technology Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,5263,6266
514,Indian Institute  of Technology Kharagpur,"Economics (5 Years, Integrated Master of Science)",AI,2892,4115
515,Sant Longowal Institute of Engineering and Technology,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,16334,31901
516,Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,6477,10404
517,"National Institute of Technology, Mizoram","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,912787,912787
518,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,20773,47524
519,Indian Institute  of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",AI,1559,2796
520,Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,949,1780
521,National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,17223,21740
522,"Birla Institute of Technology, Mesra,  Ranchi","Production Engineering (4 Years, Bachelor of Technology)",HS,26022,34018
